movie_id,movie_title,overview,popularity,rating,tagline,runtime,revenue,release_date,vote_count,budget,genres,production_companies
976573,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",2723,7.804,Opposites react.,102,458822015,2023-06-14,1536,200000000,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","['Walt Disney Pictures', 'Pixar']"
615656,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,4546,6.953,Back for seconds.,116,352056482,2023-08-02,909,129000000,"['Action', 'Science Fiction', 'Horror']","['Apelles Entertainment', 'Warner Bros. Pictures', 'di Bonaventura Pictures', 'CMC Pictures', 'Gravity Pictures']"
724209,Heart of Stone,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,2144,6.953,Defy the odds.,124,0,2023-08-09,844,0,"['Thriller', 'Action']","['Skydance', 'Pilot Wave Motion Pictures', 'Mockingbird Pictures']"
667538,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",1525,7.493,Unite or fall.,127,429800000,2023-06-06,2977,195000000,"['Action', 'Adventure', 'Science Fiction']","['Skydance', 'Paramount', 'di Bonaventura Pictures', 'Bay Films', 'New Republic Pictures', 'Tom DeSanto/Don Murphy Production', 'Hasbro']"
569094,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",1557,8.449,It's how you wear the mask that matters.,140,683241751,2023-05-31,3842,100000000,"['Animation', 'Action', 'Adventure']","['Columbia Pictures', 'Sony Pictures Animation', 'Lord Miller', 'Pascal Pictures', 'Arad Productions']"
298618,The Flash,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",1404,6.947,Worlds collide.,144,268375616,2023-06-13,2581,300000000,"['Action', 'Adventure', 'Science Fiction']","['Warner Bros. Pictures', 'Double Dream', 'The Disco Factory', 'DC Films']"
709631,Cobweb,"Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wall—one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trust.",1190,6.764,"Sooner or later, family secrets creep out.",88,1748486,2023-07-19,235,0,['Horror'],"['Point Grey Pictures', 'Vertigo Entertainment', 'Lionsgate']"
1121575,Babylon 5: The Road Home,"Travel across the galaxy with John Sheridan as he unexpectedly finds himself transported through multiple timelines and alternate realities in a quest to find his way back home. Along the way he reunites with some familiar faces, while discovering cosmic new revelations about the history, purpose, and meaning of the Universe.",1167,6.895,,80,0,2023-08-15,43,0,"['Animation', 'Science Fiction', 'Action', 'Adventure']",['Warner Bros. Animation']
385687,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",1071,7.302,The end of the road begins.,142,704709660,2023-05-17,3511,340000000,"['Action', 'Crime', 'Thriller']","['Universal Pictures', 'Original Film', 'One Race', 'Perfect Storm Entertainment']"
1006462,The Flood,A horde of giant hungry alligators is unleashed on a group of in-transit prisoners and their guards after a massive hurricane floods Louisiana.,1029,6.906,Danger is rising.,93,0,2023-07-14,171,0,"['Action', 'Horror', 'Thriller']","['Hillin Entertainment', 'Ashland Hill Media Finance', 'BGG Capital', 'Red Phoenix Productions', 'The Video Store', 'Benetone Films']"
884605,No Hard Feelings,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",1056,7.134,Pretty. Awkward.,104,82995526,2023-06-15,971,45000000,"['Comedy', 'Romance']","['Excellent Cadaver', 'Odenkirk Provissiero Entertainment', 'Columbia Pictures', 'Saks Picture Company']"
